Name,Web,sectors,usecases,tech_offers
Bill-Ray Home Mobility,http://billrayhomemobility.com,['Home'],[],[]
Bim Chain,http://bimchain.io,"['Construction', 'Construction']","['Blockchain', 'Blockchain']",[]
bimnesne,http://bimnesne.com,"['Building', 'Build']","['BIM', 'BIM', 'exclusive']","['online', 'data']"
BioMASON,http://biomason.com/,['construction industry'],[],['Biotechnology']
birdzi,http://birdzi.com,[],[],"['AI', 'data', 'AI']"
Realhub,http://bit.ly/2KFA4rM,[],[],[]
Emitwise,http://bit.ly/EmitwiseLinkedin,[],"['carbon', 'low-carbon', 'carbon', 'operations']",['power']
Bitool,http://bitool.cn/,[],"['Blockchain', 'Blockchain']",[]
blackhawk-investments,http://bitool.cn/,[],[],[]
Block114.cn,http://block114.cn/,[],[],[]
Block360.Pro,http://block360.pro/,[],[],[]
blockshares,http://blockshares.com/,"['Development', 'Commercial', 'Commercial']",['locks'],[]
Blocnets,http://blocnets.com/,[],[],[]
Realtorspropertyresource,http://blog.narrpr.com/,[],"['Property', 'work', 'Resource', 'Resource', 'exclusive']","['power', 'AR', 'online', 'data']"
Bloom Diagnostics,http://bloomdiagnostics.com/,[],"['access', 'comfort']","['power', 'diagnostics']"
bluematch,http://bluematch.com,"['Real Estate', 'homeowners']",[],[]
Bluvision Inc,http://bluvision.com,[],['management'],[]
Boatbound,http://boatbound.co/,['renters'],[],[]
Bob,http://bobdepannage.fr/,[],[],[]
Boon Resources,http://boonresources.com,[],"['Resource', 'Resource']",['application']
Bouwaandeel,http://bouwaandeel.nl/,[],['access'],[]
bowery,http://boweryres.com,[],['work'],"['ML', 'Photo', 'data']"
brace.,http://Brace.ai,[],[],[]
Bradford Technologies,http://bradfordsoftware.com/,[],[],[]
Brainsoft,http://brain-soft.ru/,['visitor'],[],"['analysis', 'dashboard', 'online']"
Brainly,http://brainly.com/,[],['access'],"['online learning', 'online']"
BrandBox,http://brandbox.io/,[],[],[]
brands4friends,http://brands4friends.de,[],"['access', 'exclusive']",['online']
Brilliantly,http://brilliantly.co,[],[],[]
BT Group,http://bt.com,[],"['cybersecurity services', 'work']",['networking']
BTP Tech,http://btp-tech.com,[],[],[]
Build Sort,http://buildsort.com,"['Building', 'Build']",[],[]
buildstar,http://buildstar.com,"['Build', 'construction industry']",['management'],['online']
BuildSupply,http://buildsupply.com/,['Build'],[],[]
Buildtools Inc,http://buildtools.com,['Build'],['management'],[]
Bundlefi,http://bundlefi.com/,['Home'],[],[]
Buscadom,http://buscadom.com,[],[],[]
Immodvisor,http://business-immodvisor.com 2. https://www.immodvisor.com,['housing'],['management'],[]
Bux180,http://bux180.com,[],[],['online']
Core,http://bycore.com,"['Office', 'CRE']",[],[]
Byva,http://byva.se,[],[],[]
ByzGen,http://byzgen.com,[],[],[]
CAD.42,http://cad42.com,[],"['operations', 'safety']",['CAD']
Bronco Plumbing Ltd,http://camcoplumbing.com/,['Energy'],['comfort'],"['Heating', 'Cooling']"
Canary,http://canary.com.br/,[],"['access', 'management', 'invoicing']",[]
captaloo,http://captaloo.com/,[],[],['online']
Caption Health,http://captionhealth.com/,['Health'],['access'],"['AI-powered', 'power', 'AI', 'AI']"
cardspring,http://cardspring.com,[],['operations'],['analysis']
Zigbang,http://career.zigbang.com,['living'],"['environment', 'convenience']",[]
CARETAKER,http://caretaker.com/,[],[],['AR']
carrtell.co,http://carrtell.co/,['Delivery'],"['Delivery', 'work', 'operations']",['Solutions']
EShares,http://carta.com/,[],"['access', 'management', 'portfolio']",['insights']
casavi.de,http://casavi.de,[],[],[]
Censuum,http://censuum.dk/,[],[],['online']
Cerescoin,http://cerescoin.io,[],['risk'],[]
Channel Ledger,http://channelledger.io/,[],[],['power']
Choister,http://choister.ru/,[],[],[]
Cielo Wigle,http://cielowigle.com,[],['work'],"['HVAC', 'Air']"
Cimlscom,http://cimls.com,"['Commercial', 'Commercial', 'Real Estate']",[],"['ML', 'MLS']"
Citiviz,http://citiviz.com,[],['urban mobility'],['application']
citydata,http://citydata.ai,[],[],"['AI', 'data', 'AI']"
civilview,http://civilviewinc.com/,[],['mapping'],['application']
ClaimsControl,http://claimscontrol.com,[],[],[]
ClassPass,http://classpass.com/,[],[],[]
ClevAir,http://clevair.io/,[],['management'],['Air']
